Scheme,PDR (%),E2E Latency (ms),Throughput (Mbps),Ping-Pong Rate (per veh)
Proposed MA-DDQN,79.23394059436737,4.484344833333333,231.0684228041825,4.941666666666666
Single-Agent DQN,70.83394059436736,8.684344833333334,218.5684228041825,8.041666666666666
RSSI Hysteresis,83.84560132664038,2.7958996666666662,227.3723276726169,2.7708333333333335
Static DSRC / ITS-G5,57.177135456561096,5.615596999999999,30.50628648712297,6.279166666666667
